# en	cn	en_ids	support	prec	level
Person	人	828	466	0.563	suspect
Goals	目标	32	17	0.531	suspect
Floor 1	1层	14	12	0.857	ok
E.G.O	E.G.O	2923	2819	0.964	ok
Combat	战斗	810	684	0.844	weak
Floor 2	2层	2	2	1.000	ok
The Heart	心	194	164	0.845	weak
Sinners	罪人	1315	1211	0.921	ok
Hands	手	589	282	0.479	suspect
Shin (心)	心	58	58	1.000	ok
Launcher [始]	始	5	5	1.000	ok
Identities	人格	921	875	0.950	ok
Apply	使用	1002	107	0.107	noise
Coin	铜钱	5583	164	0.029	suspect
Sinking	沉沦	2090	575	0.275	suspect
Faust	浮士德	1278	1226	0.959	ok
Charge	充能	1690	600	0.355	suspect
Nirmāna	变	2	2	1.000	ok
End Stage	结束	1	1	1.000	ok
Floor 3	3层	8	8	1.000	ok
Bleed	流血	1132	1042	0.920	ok
Heathcliff	希斯克利夫	1093	1041	0.952	ok
Tier 1	1级	42	39	0.929	ok
Class 1	1级	17	14	0.824	weak
Don Quixote	堂吉诃德	963	940	0.976	ok
Tier 2	2级	46	42	0.913	ok
K Corp.	K公司	950	947	0.997	ok
{0}	{0}	1960	1960	1.000	ok
The Present	现在	82	35	0.427	suspect
Fixer	收尾人	1007	884	0.878	ok
Tier 3	3级	247	66	0.267	suspect
Present [現在]	现在	8	8	1.000	ok
Team	编队	1642	183	0.111	suspect
Children	孩子	132	75	0.568	suspect
Ishmael	以实玛利	909	832	0.915	ok
Family	家人	1592	221	0.139	suspect
Sinclair	辛克莱	862	801	0.929	ok
T Corp.	T公司	758	738	0.974	ok
Hong Lu	鸿璐	734	707	0.963	ok
Meursault	默尔索	925	833	0.901	ok
Select	选择	742	463	0.624	weak
Mang (望)	望	12	12	1.000	ok
Tremor	震颤	581	547	0.941	ok
The Middle	中指	887	738	0.832	weak
Outis	奥提斯	752	691	0.919	ok
Rupture	破裂	653	630	0.965	ok
Default	基础	23	7	0.304	suspect
Fixers	收尾人	323	274	0.848	weak
Core	本体	762	663	0.870	ok
La Manchaland	拉·曼却领	717	705	0.983	ok
Yi Sang	李箱	553	545	0.986	ok
The Associations	协会	10	9	0.900	ok
Brain	脑	157	119	0.758	weak
Gregor	格里高尔	574	564	0.983	ok
Body	躯干	1248	357	0.286	suspect
The Letter	信	31	8	0.258	suspect
Burn	烧伤	878	482	0.549	suspect
Nothing	没什么	1009	64	0.063	suspect
Rodion	罗佳	455	322	0.708	weak
Tier 5	5级	2	2	1.000	ok
Leave	离开	831	170	0.205	suspect
Enter	完成	915	15	0.016	suspect
N Corp.	N公司	629	614	0.976	ok
OFF	OFF	3869	6	0.002	suspect
Heishou Pack	黑兽	440	439	0.998	ok
Family Hierarch	家主	290	284	0.979	ok
Ryōshū	良秀	797	777	0.975	ok
E.G.O Gifts	E.G.O饰品	246	226	0.919	ok
Abnormalities	异想体	324	315	0.972	ok
Identities	参战人格	921	6	0.007	suspect
Bloodfiend	血魔	501	470	0.938	ok
Head	头部	3070	125	0.041	suspect
Poise	呼吸法	383	360	0.940	ok
The Ring	环指	494	469	0.949	ok
Activate	激活	1037	102	0.098	suspect
Tier 4	4级	47	17	0.362	suspect
Nursefathers	父辈	78	73	0.936	ok
Flower	花	241	226	0.938	ok
Gift	礼物	1236	146	0.118	suspect
Ready [待]	待	2	2	1.000	ok
Reward	奖励	542	435	0.803	weak
Rewards	奖励	309	280	0.906	ok
Fragile	易损	386	362	0.938	ok
LCE	LCE	401	394	0.983	ok
Enhance	强化	419	134	0.320	suspect
Power Up	威力提升	640	220	0.344	suspect
Continue	继续	444	161	0.363	suspect
Memories	记忆	367	262	0.714	weak
The Past	过去	209	90	0.431	suspect
The Hierarch of Hongyuan	鸿园的家主	431	430	0.998	ok
Wrath	暴怒	460	368	0.800	weak
Activate	发动	1037	27	0.026	suspect
Jia Family	贾家	430	426	0.991	ok
The Thumb	拇指	428	422	0.986	ok
Offices	事务所	42	39	0.929	ok
Protection	守护	471	204	0.433	suspect
Prescript	指令	533	416	0.780	weak
Bloodfiends	血魔	193	179	0.927	ok
Run	跑	927	127	0.137	suspect
The Index	食指	372	358	0.962	ok
Hard	困难	1398	195	0.139	suspect
The City	都市	463	400	0.864	ok
Bind	束缚	892	374	0.419	suspect
Gloom	忧郁	400	353	0.882	ok
Envy	嫉妒	342	328	0.959	ok
Refraction	折射	294	238	0.810	weak
Heart	心脏	1007	172	0.171	suspect
Blade Lineage	剑契组	349	334	0.957	ok
The House of Spiders	蜘蛛巢	350	340	0.971	ok
Gaze	视线	463	202	0.436	suspect
Past [過去]	过去	8	8	1.000	ok
Person	人类	828	20	0.024	suspect
The Nests	巢	23	23	1.000	ok
Heishou Packs	黑兽	24	23	0.958	ok
The Heishou Pack	黑兽	25	25	1.000	ok
Kurokumo Clan	黑云会	257	251	0.977	ok
Vergilius	维吉里乌斯	316	291	0.921	ok
Pride	傲慢	347	284	0.818	weak
Resume	继续	77	10	0.130	suspect
W Corp.	W公司	269	260	0.967	ok
The Golden Bough	金枝	341	329	0.965	ok
Happiness	喜	93	39	0.419	suspect
