# en	cn	en_hits	cn_hits	source
Person	人	337	17415	Enemies_Refraction5.json
Goals	目标	21	15480	MirrorDungeonUI_2.json
Floor 1	1层	43	6258	MirrorDungeonUI_4.json
E.G.O	E.G.O	3414	2856	StoryTheaterDanteNote.json
Combat	战斗	781	3608	BattlePass.json
Floor 2	2层	4	4153	MirrorDungeonUI_4.json
The Heart	心	125	3639	StageNode-a1c8p3.json
Sinners	罪人	1158	2605	MirrorDungeonUI_3.json
Hands	手	404	3256	Enemies_Refraction3.json
Shin (心)	心	0	3639	StoryTheaterDanteNote_12.json
Launcher [始]	始	0	3615	BattleKeywords.json
Identities	人格	1055	2509	StoryTheaterDanteNote.json
Apply	使用	1142	2365	DanteAbilityUIText_a1c9p3.json
Coin	铜钱	3231	173	EGOgift_a1c8p2.json
Sinking	沉沦	2451	595	BattleKeywords.json
Faust	浮士德	1366	1483	IntroduceCharacter.json
Charge	充能	2050	589	BattleKeywords.json
Nirmāna	变	0	2607	Passives_Abnormality_Refraction.json
End Stage	结束	1	2549	RailwayDungeonUI_2.json
Floor 3	3层	8	2406	MirrorDungeonUI_4.json
Bleed	流血	1228	1081	BattleKeywords.json
Heathcliff	希斯克利夫	1055	1210	IntroduceCharacter.json
Tier 1	1级	70	2102	MirrorDungeonUI_4.json
Class 1	1级	28	2102	StageNode1-4.json
Don Quixote	堂吉诃德	956	1105	Enemies-a1c7p3.json
Tier 2	2级	75	1981	MirrorDungeonUI_4.json
K Corp.	K公司	956	1040	StoryTheaterDanteNote.json
{0}	{0}	0	1986	RailwayDungeonUI.json
The Present	现在	61	1910	RailwayDungeonUI_6.json
Fixer	收尾人	842	1109	UnitKeyword.json
Tier 3	3级	273	1670	MirrorDungeonUI_4.json
Present [現在]	现在	0	1910	Passives_Abnormality_Refraction6.json
Team	编队	1535	362	MirrorDungeonUI_2.json
Children	孩子	91	1735	StageNode-a1c9p2.json
Ishmael	以实玛利	850	904	IntroduceCharacter.json
Family	家人	1447	261	StageNode-a1c9p3.json
Sinclair	辛克莱	812	846	Enemies-cultivation.json
T Corp.	T公司	769	800	StoryTheaterDanteNote_5.json
Hong Lu	鸿璐	737	819	IntroduceCharacter.json
Meursault	默尔索	946	592	IntroduceCharacter.json
Select	选择	456	1079	MirrorDungeonUI_6.json
Mang (望)	望	0	1527	Passives.json
Tremor	震颤	727	798	BattleKeywords.json
The Middle	中指	692	806	StageNode-a1c9p3.json
Outis	奥提斯	776	697	IntroduceCharacter.json
Rupture	破裂	725	746	BattleKeywords.json
Default	基础	15	1447	MirrorDungeonUI_6.json
Fixers	收尾人	316	1109	StoryTheaterDanteNote.json
Core	本体	717	687	Enemies-hidden.json
La Manchaland	拉·曼却领	688	715	UnitKeyword.json
Yi Sang	李箱	626	763	IntroduceCharacter.json
The Associations	协会	10	1371	StoryTheaterDanteNote_2.json
Brain	脑	81	1294	Enemies-tkt.json
