# 同现实证配对：同一记录内中英直接对应（高置信）
# en	cn	count	source
Body Part	躯干 部位	238	Enemies-a1c5p1.json
Head Part	头部 部位	36	Enemies-a1c5p1.json
Guard	防御	31	BattleUIText.json
Event Bonus Units	活动加成角色	30	EventCommonText.json
The Hierarch of Hongyuan …….	鸿园的家主 ……	29	StoryData/E801B.json
Left Arm Part	左臂 部位	26	Enemies-a1c5p1.json
Reward Exchange	奖励兑换	23	EventLCBCheckupText.json
Event Period	活动时间	23	TutorialMainUIText.json
But...	但是……	20	StoryData/8D203A.json
I...	我……	18	StoryData/1D303B.json
Some time later...	不久之后……	17	StoryData/8D209A.json
Right Arm Part	右臂 部位	16	Enemies-a1c5p1.json
Enkephalin Charged	脑啡肽已补充	15	LoginUIText.json
Ryōshū Sinner #4	良秀 4号罪人	15	ScenarioModelCodes-AutoCreated.json
Jia Family …….	贾家 ……	15	StoryData/8D206B.json
*puff*	呼……	15	StoryData/E901B.json
Event Encounters	活动战斗	15	TutorialMainUIText.json
Evade	闪避	14	BattleUIText.json
Event Closed	活动结束	13	BossRaidUI-2.json
No.	不。	13	StoryData/7D111I3.json
Doomsday Calendar Core	终末日历 本体	12	Enemies.json
Anonymous	匿名	12	ScenarioModelCodes-AutoCreated.json
Mm.	嗯。	12	Skills_personality-x1p1c1.json
Ah...	啊……	12	StoryData/5D203B.json
Hm...	嗯……	12	StoryData/E070X.json
Hard	困难	11	DawnOfGreenEventText.json
Extraction
Purchase from Dispenser	提取
从自动贩卖机处购买	11	EGO_Get_Condition.json
Hard Difficulty	困难难度	11	MirrorDungeonUI_6.json
... Hah.	……哈。	11	StoryData/E907B.json
Level Boost All Enemy Levels +3	等级强化 全体敌方单位提升3级	10	BattleKeywords_Mirror6.json
Frailness -10% Max HP for all allies	衰弱 全体友方单位的体力上限-10%	10	BattleKeywords_Mirror6.json
To Theater	跳转至放映室	10	DawnOfGreenEventText.json
E.G.O Gifts	E.G.O饰品	10	MainUIText.json
Heathcliff Sinner #7	希斯克利夫 7号罪人	10	ScenarioModelCodes-AutoCreated.json
Dante.	但丁。	10	StoryData/7D107B.json
M-04-04-05 Doomsday Calendar Core	M-04-04-05 终末日历 本体	9	AbnormalityGuides.json
Counter	反击	9	BattleUIText.json
E.G.O Corrosion	E.G.O侵蚀	9	BattleUIText.json
Missions	任务列表	9	DawnOfGreenEventText.json
Body BongBong [Orange] Body	躯干 噗扭扭[橙子味] 躯干	9	Enemies-walpu8.json
Event Currency Guide	活动道具介绍	9	EventLCBCheckupText.json
Banner Requisites	横幅获取条件	9	RailwayDungeonUI.json
Elder Daguanyuan	长辈 大观园	9	ScenarioModelCodes-AutoCreated.json
Yuri Grade 8 Fixer ......	尤莉 8阶收尾人 ……	9	StoryData/1D101A.json
You...	你……	9	StoryData/1D306A.json
Accessing the Event	活动开放	9	TutorialMainUIText.json
Combat	战斗	8	BattlePass.json
(Lalulula lalulula hun)	（Lalulula lalulula hun）	8	BgmLyrics/BgmLyrics_TianTian.json
Number-nuts Hooligan Enemy Unit	不识数的流氓 敌方单位	8	Enemies.json
Stages	关卡	8	EventLCBCheckupText.json
Target Extraction: Hong Lu	定向提取：鸿璐	8	GachaTitle.json
Sinners	罪人	8	MainUIText.json
Jia Mu The Hierarch of Hongyuan	贾母 鸿园的家主	8	ScenarioModelCodes-AutoCreated.json
Clumsy Chop	拙劣斩击	8	Skills_Enemy.json
Dongrang K Corp. Dept. of Food Resource Development ……	东朗 K公司 粮食资源改良部门 ……	8	StoryData/4D105B.json
... Hm.	……嗯。	8	StoryData/E050X.json
Details	详情	7	BattleUIText.json
When I look back on those memories	当我回顾那些记忆时	7	BgmLyrics/BgmLyrics_Credit.json
Flower Part	花 部位	7	Enemies_Refraction2.json
Target Extraction: Gregor	定向提取：格里高尔	7	GachaTitle.json
Target Extraction: Rodion	定向提取：罗佳	7	GachaTitle.json
Target Extraction: Don Quixote	定向提取：堂吉诃德	7	GachaTitle.json
Target Extraction: Faust	定向提取：浮士德	7	GachaTitle.json
Target Extraction: Outis	定向提取：奥提斯	7	GachaTitle.json
Target Extraction: Ryōshū	定向提取：良秀	7	GachaTitle.json
Target Extraction: Ishmael	定向提取：以实玛利	7	GachaTitle.json
Cancel	取消	7	LoginUIText.json
E.G.O Gift Compendium	E.G.O饰品图鉴	7	MirrorDungeonUI.json
Weekly Bonuses	每周加成	7	MirrorDungeonUI_2.json
Hong Lu Sinner #6	鸿璐 6号罪人	7	ScenarioModelCodes-AutoCreated.json
Clunky Stab	笨重突刺	7	Skills_Enemy.json
Yes.	是的。	7	StoryData/5D205B.json
Hm.	嗯。	7	StoryData/5D304A.json
Family …….	家族 ……	7	StoryData/7D102B.json
But...	但……	7	StoryData/7D112A.json
... What?	……什么？	7	StoryData/E063X.json
And...	还有……	7	StoryData/E507A.json
The Thumb Nursefather .......	拇指 父辈 ……	7	StoryData/P10716.json
Exploring Mirror Dungeons	镜像迷宫探索	7	TutorialMainUIText.json
Mirror Dungeon Rewards	镜像迷宫奖励	7	TutorialMainUIText.json
Clear Easy Difficulty to Unlock	通过简单难度后解锁	7	Walpu3EventText.json
One!	一！	6	BattleSpeechBubbleDlg.json
Two!	二！	6	BattleSpeechBubbleDlg.json
Then...	那么……	6	BgmLyrics/BgmLyrics_Credit7.json
버프 이름 -	增益名称 -	6	Bufs_Refraction5.json
Sharp Hooligan Enemy Unit	敏锐的流氓 敌方单位	6	Enemies.json
Famished Hooligan Enemy Unit	饥肠辘辘的流氓 敌方单位	6	Enemies.json
Right Leg Part	右腿 部位	6	Enemies.json
Left Leg Part	左腿 部位	6	Enemies.json
Tail Part	尾部 部位	6	Enemies.json
Telepole Part	电线杆 部位	6	Enemies.json
Person Part	人类 部位	6	Enemies.json
Items Owned	持有道具数	6	EventLCBCheckupText.json
The Ring	环指	6	FormationNameEtcFilter.json
Target Extraction: Heathcliff	定向提取：希斯克利夫	6	GachaTitle.json
Target Extraction: Meursault	定向提取：默尔索	6	GachaTitle.json
Target Extraction: Sinclair	定向提取：辛克莱	6	GachaTitle.json
Target Extraction: Yi Sang	定向提取：李箱	6	GachaTitle.json
Shop	商店	6	MirrorDungeonUI_2.json
Starting E.G.O Gift Choice	选择初始E.G.O饰品	6	MirrorDungeonUI_3.json
Encounter Reward Cards	遭遇战奖励卡	6	MirrorDungeonUI_4.json
Easy	简单	6	MirrorDungeonUI_4.json
Cost	经费	6	MirrorDungeonUI_5.json
Achievements	成就	6	MirrorDungeonUI_5_InfinityFloor.json
Clear Info	通关信息	6	RailwayDungeonUI_5.json
Dihui Star The Pinky Nursefather	地慧星 小指 父辈	6	ScenarioModelCodes-AutoCreated.json
Weak Blow	软弱打击	6	Skills_Enemy.json
Haah...	哈……	6	StoryData/4D104B.json
However...	但是……	6	StoryData/4D302B.json
And...	而且……	6	StoryData/5D103B.json
Heh.	呵。	6	StoryData/5D304A.json
La Manchaland …….	拉·曼却领 ……	6	StoryData/7D104B.json
... Yes.	……是的。	6	StoryData/8D105B.json
<Ah...>	<啊……>	6	StoryData/E003I3.json
Hmm...	嗯……	6	StoryData/E061X.json
Xichun's Clan …….	惜春的势力 ……	6	StoryData/E808A.json
【To Faust】	【致浮士德】	6	StoryData/P10214.json
The Index Apprentice …….	食指 子辈 ……	6	StoryData/P10314.json
The Thumb Apprentice .......	拇指 子辈 ……	6	StoryData/P10716.json
Strange Dead Rabbits Henchman The Dead Rabbits …….	诡异的死兔帮成员 死兔帮 ……	6	StoryData/S616B.json
XX/XX	X月X日	6	StoryData/S619A.json
Shops	商店	6	TutorialMainUIText.json
Event Stages	活动关卡	6	TutorialMainUIText.json
Hard Difficulty Encounter	困难难度战斗	6	TutorialMainUIText.json
Observation Logs	图鉴	6	TutorialMainUIText.json
Complete Suppression without any ally deaths	全体友方单位存活的状态下镇压成功	6	Walpu3EventText.json
Defeat a Gear Worshipper in an Encounter	单次战斗中击杀齿轮教团信徒	6	Walpu5EventText.json
Heathcliff	希斯克利夫	5	Announcer.json
Regular	常规	5	BattlePass.json
'Tis the finisher!	结束了！	5	BattleSpeechBubbleDlg.json
... Fulfilled.	……满足。	5	BattleSpeechBubbleDlg.json
Continue	继续	5	BattleUIText.json
Delete	删除	5	BgmLyrics/BgmLyrics_MaouHeath.json
Cycle	巡回	5	Bufs.json
Brain Part	脑 部位	5	Enemies-tkt.json
Peccatulum Gulae Core	暴食罪种 本体	5	Enemies.json
Headless Ichthys Core	断首鱼 本体	5	Enemies.json
