# en	cn	source	id
Skin Prophet	人皮预言者	AbEvents-a1c5p3.json	810001
Ambling Pearl	陆行珍珠	AbEvents-a1c5p3.json	810101
Dream-Devouring Siltcurrent	噬梦的浊流	AbEvents-a1c5p3.json	810201
Check underneath the ship	检查船体底部	AbEvents-a1c5p3.json	1050101
Left or Right	左转或右转	AbEvents-a1c5p3.json	10502
Right or Left	左转或右转	AbEvents-a1c5p3.json	1050201
To the Arteries	前往动脉	AbEvents-a1c5p3.json	10503
The Artery	切断白鲸动脉	AbEvents-a1c5p3.json	1050401
Supply Crate 1	补给品 1	AbEvents-a1c5p3.json	1050501
Supply Crate 2	补给品 2	AbEvents-a1c5p3.json	1050502
Ahab 2	亚哈 2	AbEvents-a1c5p3.json	810602
Ahab 3	亚哈 3	AbEvents-a1c5p3.json	810603
Erlking Heathcliff	魔王希斯克利夫	AbEvents-a1c6p2.json	816401
Heathcliff, The Heartbroken	心被撕碎的希斯克利夫	AbEvents-a1c6p3.json	816601
Nelly	耐莉	AbEvents-a1c6p3.json	817101
Rose Hunter	玫瑰猎人	AbEvents-a1c7p3.json	837601
막힌_길_장치_조작	막힌_길_장치_조작	AbEvents-a1c8p2.json	1080101
낭떠러지_도전	낭떠러지_도전	AbEvents-a1c8p2.json	1080601
죄인_벌주기_1차	죄인_벌주기_1차	AbEvents-a1c8p2.json	1080701
죄인_벌주기_2차	죄인_벌주기_2차	AbEvents-a1c8p2.json	1080702
항아리_보기	항아리_보기	AbEvents-a1c8p2.json	1080801
공포_견디기	공포_견디기	AbEvents-a1c8p2.json	1081001
막바지_보너스_내기	막바지_보너스_내기	AbEvents-a1c8p2.json	1081301
Faelantern	精灵提灯	AbEvents-a1c9p1.json	130801
Ardor Blossom Moth	红焰蛾	AbEvents-a1c9p2.json	132001
Wayward Passenger	迷失的乘客	AbEvents-a1c9p2.json	876701
Punish the You branch Heishou.	处罚黑兽 - 酉。	AbEvents-cultivation.json	97106801
Suspicious Red Cloth	奇怪的红布	AbEvents-cultivation.json	97106901
Someone fenced Heishou Pack - Wu Branch gear	赃物：黑兽 - 午的装备	AbEvents-cultivation.json	97107301
Enter The Last Knight	最后的骑士之现身	AbEvents-pilgrimage.json	12880101
Frozen Sinners	冻结的罪人	AbEvents-pilgrimage.json	12880201
The Last Knight and Rocinante	最后的骑士与罗辛南特	AbEvents-pilgrimage.json	12880301
Iberians and the Ægir - #3	伊比利亚人与阿戈尔人 #3	AbEvents-pilgrimage.json	97107402
The Glorious Past of Iberia	伊比利亚昔日的辉煌荣光	AbEvents-pilgrimage.json	97107501
A Story of Lighthouse Keepers and The Profound Silence - #3	灯塔看守人与大静谧的故事 #3	AbEvents-pilgrimage.json	97107602
Daily Life	日常生活	AbEvents-tktRe.json	1081401
T Corp. Collector	T公司征收员	AbEvents-tktRe.json	1081501
Yurodiviye	圣愚	AbEvents-tktRe.json	1081601
Punishing Bird	惩戒鸟	AbEvents-walpu8.json	97109002
1.76 MHz	1.76兆赫	AbEvents-walpu8.json	97109102
Queen Bee Gift Options	蜂后 饰品 选项	AbEvents-walpu8.json	97109601
Singing Machine Gift Options	歌唱机 饰品 选项	AbEvents-walpu8.json	97109701
Singing Machine Gift Option 2 - Harmony Guitar	歌唱机 饰品 选项2 - 和声吉他	AbEvents-walpu8.json	97109801
Singing Machine Gift Option 2 - Self-playing Bass	歌唱机 饰品 选项2 - 自动演奏贝斯	AbEvents-walpu8.json	97109901
백설선택지1	白雪选项1	AbEvents.json	800101
백설선택지2	白雪选项2	AbEvents.json	800102
백설선택지4	백설선택지4	AbEvents.json	800104
백설선택지5	백설선택지5	AbEvents.json	800105
구더기사과선택지1	구더기사과선택지1	AbEvents.json	800801
아즈텍원판선택지2	아즈텍원판선택지2	AbEvents.json	800202
아즈텍원판선택지4	아즈텍원판선택지4	AbEvents.json	800204
아즈텍원판선택지6	아즈텍원판선택지6	AbEvents.json	800206
분홍신선택지2	분홍신선택지2	AbEvents.json	801502
Eternal Rest	永远的解放	AbEvents.json	10100201
Exhilarating Edutainment Featuring Excess Violence!	寓教于揍的有趣游戏！	AbEvents.json	10200201
Before a Sealed Door	在紧闭的门扉前	AbEvents.json	1030201
The First Gate	第一道关口	AbEvents.json	1030301
Who Judges the Judge	审判审判官之人	AbEvents.json	1030501
A Rotting Corpse’s Memento	腐尸所遗留之物	AbEvents.json	1030601
Rite of Suppuration	溃烂仪式	AbEvents.json	1030801
Rite of Confrontation	直面仪式	AbEvents.json	1031001
Rite of Penance	忏悔仪式	AbEvents.json	1031201
Rite of Conclusion	最终仪式	AbEvents.json	1031401
던전 103003 선택지	던전 103003 선택지	AbEvents.json	103003
던전 103004 선택지 : 짓무름의 의식	던전 103004 선택지 : 짓무름의 의식	AbEvents.json	103004
던전 103004 선택지 : 속죄의 의식	던전 103004 선택지 : 속죄의 의식	AbEvents.json	103005
던전 103006 2차 선택지	던전 103006 2차 선택지	AbEvents.json	10300601
늑대선택지1	늑대선택지1	AbEvents.json	802501
뱀선택지1	뱀선택지1	AbEvents.json	802801
크로머선택지1	크로머선택지1	AbEvents.json	802901
크로머선택지2	크로머선택지2	AbEvents.json	803001
단수어선택지1	단수어선택지1	AbEvents.json	803101
골목파수견선택지1	골목파수견선택지1	AbEvents.json	803201
Blubbering Toad	悲泣蟾蜍	AbEvents.json	851001
Kqe-1j-23	Kqe-1j-23	AbEvents.json	851901
My Form Empties	无我入定	AbEvents.json	852701
Tango of Poultry Passion	鸡群的激情探戈	AbEvents.json	91030201
Shock Centipede	电击蜈蚣	AbEvents.json	804501
Drifting Fox	流浪狐狸	AbEvents.json	804601
So That No One Will Cry	因而无人哭泣	AbEvents.json	804701
Fairy Gentleman	绅士精灵	AbEvents.json	804801
Looking for a Drone	寻找无人机	AbEvents.json	1040101
Poking at the Egg	触摸那颗卵	AbEvents.json	1040301
PickingRowAndColumn	选择行与列	AbEvents.json	1040401
Try Talking	与其搭话。	AbEvents.json	1040801
Stand in his way.	阻止他。	AbEvents.json	805002
Fairy Longlegs	长腿精灵	AbEvents.json	805901
{0} <color=#fe4b48>loses {1} SP</color>	{0} <color=#fe4b48>失去{1}点理智值</color>	AbEventsResultLog-a1c5p3.json	810001_skinPredector_success_1_1
{0} gains %{2} {1}/% for the encounter.	本关卡中，{0} 获得%{2} {1}/%。	AbEventsResultLog-a1c5p3.json	810001_skinPredector_success_1_2
{0} gains %{2} {1}/% and %{4} {3}/% for the encounter.	本关卡中，{0} 获得%{2} {1}/%，%{4} {3}/%。	AbEventsResultLog-a1c5p3.json	810001_skinPredector_success_1_3
All Identities gain %{1} {0}/% and %{3} {2}/%.	所有人格获得%{1} {0}/%，%{3} {2}/%。	AbEventsResultLog-a1c5p3.json	810001_skinPredector_failure_1_2
1 {0} <color=#e30000>loses {1} HP</color>	{0}之一<color=#e30000>失去{1}体力</color>	AbEventsResultLog-a1c5p3.json	810201_nk_success_1_1
{0} gains %{2} {1}/%	{0}获得%{2} {1}/%。	AbEventsResultLog-a1c5p3.json	810201_nk_success_1_2
{0} <color=#e30000>loses {1} HP</color>	{0}<color=#e30000>失去{1}体力</color>	AbEventsResultLog-a1c5p3.json	810201_nk_failure_1_2
{0} <color=#fe4b48>loses {1} SP</color>	{0}<color=#fe4b48>失去{1}点理智值</color>	AbEventsResultLog-a1c5p3.json	810101_walkingPearl_success_1_1
{0} %loses {2} {1}/%	{0} %失去{2} {1}/%	AbEventsResultLog-a1c5p3.json	810101_walkingPearl_success_1_3
{0} gains %{2} [{1}]/% and %{4} [{3}]/%	{0}获得%{2} [{1}]/%，%{4} [{3}]/%	AbEventsResultLog-a1c5p3.json	810602_success_1_1
{0} <color=#80c9ff>fully heals SP</color>	{0}<color=#80c9ff>恢复至理智值上限</color>	AbEventsResultLog-a1c5p3.json	810602_success_1_2
All allies gain %{1} [{0}]/%	全体友方单位获得%{1} [{0}]/%	AbEventsResultLog-a1c5p3.json	810602_success_1_3
All allies <color=#80c9ff>heal {0} SP</color>	全体友方单位<color=#80c9ff>恢复{0}点理智值</color>	AbEventsResultLog-a1c5p3.json	810602_success_1_4
{0} gains %{2} [{1}]/%	{0} 获得%{2} [{1}]/%	AbEventsResultLog-a1c5p3.json	810602_success_1_5
<color=#ebcaa2>[{0}]</color> gains %{2} [{1}]/%	<color=#ebcaa2>[{0}]</color>获得%{2} [{1}]/%	AbEventsResultLog-a1c6p3.json	816601_success_1
<color=#ebcaa2>[{0}]</color> gains %{2} [{1}]/% next turn	<color=#ebcaa2>[{0}]</color>在下回合获得%{2} [{1}]/%	AbEventsResultLog-a1c6p3.json	816601_success_2
<color=#ebcaa2>[{0}]</color> gains %{2} [{1}]/% next turn	在下回合对<color=#ebcaa2>[{0}]</color>施加%{2} [{1}]/%	AbEventsResultLog-a1c6p3.json	816601_failure_1
<color=#ebcaa2>[{0}]</color> takes {1} SP damage	<color=#ebcaa2>[{0}]</color>受到{1}点理智值伤害	AbEventsResultLog-a1c6p3.json	816601_failure_2
<color=#ebcaa2>[{0}]</color> heals {1} HP and {2} SP	<color=#ebcaa2>[{0}]</color>恢复{1}点体力与点{2}理智值	AbEventsResultLog-a1c6p3.json	816602_success_2
<color=#ebcaa2>[{0}]</color> heals {1} HP to Core and Part	<color=#ebcaa2>[{0}]</color> 的本体和部位恢复{1}点体力	AbEventsResultLog-a1c6p3.json	816602_failure_1
<color=#ebcaa2>[{0}]</color> gains %{2} [{1}]/%	对<color=#ebcaa2>[{0}]</color>施加%{2} [{1}]/%	AbEventsResultLog-a1c6p3.json	817101_log_1_1
<color=#ebcaa2>All Sinners</color> heal {0} SP	<color=#ebcaa2>全体友方单位</color> 恢复{0}点理智值	AbEventsResultLog-a1c6p3.json	817302_success_1
<color=#ebcaa2>[{0}]</color> heals {1} SP	<color=#ebcaa2>罪人[{0}]</color>恢复{1}点理智值	AbEventsResultLog-a1c6p3.json	817304_success_1
[{0}] gains %{3} {2}/% for {1} turn(s)	[{0}]在{1}回合内获得%{3} {2}/%	AbEventsResultLog-a1c6p3.json	817304_success_2
[{0}] <color=#80c9ff>fully heals SP</color>	[{0}]的<color=#80c9ff>理智值恢复至上限</color>	AbEventsResultLog-a1c6p3.json	817305_1
[{0}]'s {1} changes to {2}	[{0}]的{1}变为{2}	AbEventsResultLog-a1c6p3.json	817305_3
<color=#ebcaa2>[{0}]</color> gains %{2} [{1}]/% every turn	<color=#ebcaa2>[{0}]</color>每回合对自身施加%{2} [{1}]/%	AbEventsResultLog-a1c7p3.json	837902_2
<color=#ebcaa2>Fairy is Staggered!</color>	<color=#ebcaa2>精灵部位陷入混乱</color>	AbEventsResultLog-a1c9p1.json	130801_success_1
<color=#ebcaa2>Fairy permanently gains {1} {0}</color>	<color=#ebcaa2>精灵部位对自身永久施加 {1} {0} </color>	AbEventsResultLog-a1c9p1.json	130801_success_2
<color=#ebcaa2>{0}</color> gains % [{2} {1}]/%	<color=#ebcaa2>{0}</color>获得%[{2} {1}]/%	AbEventsResultLog-pilgrimage.json	12880101_succeed_1
<color=#ebcaa2>{0}</color> gains %[{1}]/%	<color=#ebcaa2>{0}</color>获得%[{1}]/%	AbEventsResultLog-pilgrimage.json	12880302_succeed_2
Apply %[{2} {1}]/% on <color=#ebcaa2>{0}</color>	对<color=#ebcaa2>{0}</color>施加%[{2} {1}]/%	AbEventsResultLog-pilgrimage.json	12880302_failure_2
<color=#ebcaa2>Nothing happened.</color>	<color=#ebcaa2>什么都没有发生。</color>	AbEventsResultLog.json	800101_whitesnow_failure_1_1
<color=#ebcaa2>[{0}] got Staggered!</color>	<color=#ebcaa2>[{0}]陷入了混乱</color>	AbEventsResultLog.json	800105_whitesnow_success_1_2
<color=#ebcaa2>The Golden Apple formed a new body!</color>	<color=#ebcaa2>金苹果生成了新的躯干！</color>	AbEventsResultLog.json	800801_muckwormedapple_success_1_1
All of [{0}]’s parts gain %{3} {2} for {1} turn(s)/%.	[{0}]的所有部位</color>获得%持续{1}回合的{3}{2}/%。</color>	AbEventsResultLog.json	800801_muckwormedapple_failure_1_2
<color=#ebcaa2>Abnormality Suppressed!</color>	<color=#ebcaa2>异想体镇压完成</color>	AbEventsResultLog.json	800206_aztec_circle_success_1_3
<color=#ebcaa2>Investigating the factory…</color>	<color=#ebcaa2>我们决定调查工厂。</color>	AbEventsResultLog.json	801201_reinforcedHuman_1_1
<color=#ebcaa2>Pressed “Yes”.</color>	<color=#ebcaa2>按下了“是”的按钮。</color>	AbEventsResultLog.json	801202_reinforcedHuman_1_1
<color=#ebcaa2>Pressed “No”.</color>	<color=#ebcaa2>按下了“不是”的按钮。</color>	AbEventsResultLog.json	801202_reinforcedHuman_2_1
<color=#ebcaa2>All enemies become %[{0}]/%.</color>	<color=#ebcaa2>全体敌方单位进入%[{0}]/%状态</color>	AbEventsResultLog.json	801502_pinkshoe_failure_1_3
<color=#ff8000>Combat Encounter!</color>	<color=#ff8000>触发遭遇战！</color>	AbEventsResultLog.json	102002_action_2_2
<color=#ebcaa2>Got an E.G.O Gift!</color>	<color=#ebcaa2>获得E.G.O饰品！</color>	AbEventsResultLog.json	acquire_ego_gift
<color=#ebcaa2>Combat Encounter!</color>	<color=#ebcaa2>触发遭遇战！</color>	AbEventsResultLog.json	battle_occurrence
<color=#ebcaa2>There’s a new path on the map!</color>	<color=#ebcaa2>地图中追加了新的道路！</color>	AbEventsResultLog.json	unlock_hidden_node
<color=#ebcaa2>Enemy waves reduced by {0}!</color>	<color=#ebcaa2>敌人的波次减少{0}波！</color>	AbEventsResultLog.json	enemy_wave_decrease
<color=#ebcaa2>[{0}]’s Karma was resolved.</color>	<color=#ebcaa2>解除[{0}]的业报</color>	AbEventsResultLog.json	852701_statue_failure_1_1
Karma strikes every Sinner randomly!	对全体人格随机施加业报。	AbEventsResultLog.json	852701_statue_failure_1_2
<color=#ebcaa2>[{0}] loses %{2} [{1}]/%</color>	<color=#ebcaa2>[{0}] 减少%{2} [{1}] /%</color>	AbEventsResultLog.json	804501_electriccentipede_success_1_1
<color=#ebcaa2>[{0}] gains %{2} [{1}]/%</color>	<color=#ebcaa2>[{0}] 增加%{2} [{1}] /%</color>	AbEventsResultLog.json	804501_electriccentipede_failure_1_1
[{0}] gains <color=#00ff9c>{2} {1}</color> next turn	下回合对罪人[{0}]施加<color=#00ff9c>{2} {1}</color>	AbEventsResultLog.json	804701_nobodygonnacry_success_1_2
Dongrang has been confronted	东朗被阻拦了	AbEventsResultLog.json	805006_egoawakendongrang_success_3_1
<color=#ebcaa2>[{0}] loses %{2} [{1}]/%</color>	<color=#ebcaa2>[{0}] 减少%{2} [{1}]/%</color>	AbEventsResultLog_Refraction2.json	854101_success_1_1
[{0}] gains <color=#00ff9c>{2} {1}</color> next turn	下回合对[{0}]施加<color=#00ff9c>{2} {1}</color>	AbEventsResultLog_Refraction2.json	854401_success_1_2
<color=#ebcaa2>{0} is Staggered</color>	<color=#ebcaa2>[{0}]陷入混乱</color>	AbEventsResultLog_Refraction2.json	854501_success_1_1
<color=#ebcaa2>Fairy is Staggered!</color>	<color=#ebcaa2>精灵陷入混乱</color>	AbEventsResultLog_Refraction2.json	854901_success_1_1
All characters deal {0}% damage	所有角色造成的伤害{0}%	AbEventsResultLog_Refraction2.json	855601_1_1
All characters take {0}% damage	所有角色受到的伤害{0}%	AbEventsResultLog_Refraction2.json	855601_1_2
