# Limbus Company 英→中术语表（来源：官方术语文件 + 零协会汉化，四语 id 对齐）
# en	cn	出现次数(en+cn)	source
Floor 1	1层	6301	MirrorDungeonUI_4.json
E.G.O	E.G.O	6270	StoryTheaterDanteNote.json
Combat	战斗	4389	BattlePass.json
Floor 2	2层	4157	MirrorDungeonUI_4.json
The Heart	心	3764	StageNode-a1c8p3.json
Sinners	罪人	3763	MirrorDungeonUI_3.json
Identities	人格	3564	StoryTheaterDanteNote.json
Coin	铜钱	3404	EGOgift_a1c8p2.json
Sinking	沉沦	3046	BattleKeywords.json
Faust	浮士德	2849	IntroduceCharacter.json
Charge	充能	2639	BattleKeywords.json
Floor 3	3层	2414	MirrorDungeonUI_4.json
Bleed	流血	2309	BattleKeywords.json
Heathcliff	希斯克利夫	2265	IntroduceCharacter.json
Tier 1	1级	2172	MirrorDungeonUI_4.json
Class 1	1级	2130	StageNode1-4.json
Don Quixote	堂吉诃德	2061	Enemies-a1c7p3.json
Tier 2	2级	2056	MirrorDungeonUI_4.json
K Corp.	K公司	1996	StoryTheaterDanteNote.json
The Present	现在	1971	RailwayDungeonUI_6.json
Fixer	收尾人	1951	UnitKeyword.json
Tier 3	3级	1943	MirrorDungeonUI_4.json
Ishmael	以实玛利	1754	IntroduceCharacter.json
Sinclair	辛克莱	1658	Enemies-cultivation.json
T Corp.	T公司	1569	StoryTheaterDanteNote_5.json
Hong Lu	鸿璐	1556	IntroduceCharacter.json
Meursault	默尔索	1538	IntroduceCharacter.json
Tremor	震颤	1525	BattleKeywords.json
The Middle	中指	1498	StageNode-a1c9p3.json
Outis	奥提斯	1473	IntroduceCharacter.json
Rupture	破裂	1471	BattleKeywords.json
Fixers	收尾人	1425	StoryTheaterDanteNote.json
La Manchaland	拉·曼却领	1403	UnitKeyword.json
Yi Sang	李箱	1389	IntroduceCharacter.json
The Associations	协会	1381	StoryTheaterDanteNote_2.json
Brain	脑	1375	Enemies-tkt.json
Gregor	格里高尔	1353	IntroduceCharacter.json
The Letter	信	1283	StageNode-a1c6p1.json
Burn	烧伤	1252	BattleKeywords.json
Nothing	没什么	1230	StageNode1-4.json
Rodion	罗佳	1194	IntroduceCharacter.json
Tier 5	5级	1182	MirrorDungeonUI_5.json
Leave	离开	1180	MirrorDungeonUI_2.json
N Corp.	N公司	1153	StageNode-a1c8p1.json
Heishou Pack	黑兽	1137	UnitKeyword.json
Family Hierarch	家主	1124	UnitKeyword.json
Ryōshū	良秀	1116	Enemies-a1c9p3.json
E.G.O Gifts	E.G.O饰品	1103	MirrorDungeonUI_7.json
Abnormalities	异想体	1082	StoryTheaterDanteNote_2.json
Identities	参战人格	1063	MirrorDungeonUI.json
Bloodfiend	血魔	1056	UnitKeyword-a1c7p1.json
Poise	呼吸法	1004	BattleKeywords.json
The Ring	环指	983	StageNode-a1c9p3.json
Activate	激活	961	MirrorDungeonUI_3.json
Tier 4	4级	957	MirrorDungeonUI_4.json
Nursefathers	父辈	948	StageNode-a1c9p1.json
Flower	花	942	Enemies_Refraction2.json
