# pattern	count	en_example	cn_example
<TAG> Inflict <N> <TAG>	3696	[OnSucceedAttack] Inflict 2 [Sinking]	[OnSucceedAttack] 使目标增加2级沉沦 强度
<TAG> Inflict +<N> <TAG> Count	1462	[OnSucceedAttackHead] Inflict +1 [Sinking] Count	[OnSucceedAttackHead] 对目标施加1层沉沦 
<TAG> Inflict <N> <TAG> next turn	609	[OnSucceedAttack] Inflict 1 [PenetrateTakeDamageUp] next turn	[OnSucceedAttack] 下回合对目标施加1层突刺易损 
K Corp. Dept. of Food Resource Development	549	K Corp. Dept. of Food Resource Development	K公司 粮食资源改良部门
<TAG> Gain <N> <TAG>	435	[WhenUse] Gain 2 [Breath]	[WhenUse] 使自身增加2级呼吸法 强度
The Hierarch of Hongyuan	430	The Hierarch of Hongyuan	鸿园的家主
<TAG> Gain +<N> <TAG> Count	428	[WhenUse] Gain +2 [Breath] Count	[WhenUse] 使自身获得2层呼吸法 
<TAG> Inflict <N> <TAG> and +<N> <TAG> Count	356	[OnSucceedAttack] Inflict 2 [Sinking] and +1 [Sinking] Count	[OnSucceedAttack] 使目标增加2级沉沦 强度并对其施加1层沉沦 
Post-Uptie Chat <N>	350	Post-Uptie Chat 1	同步后对话 1
<TAG> Inflict <N> Bleed	241	[OnSucceedAttackHead] Inflict 2 Bleed	[OnSucceedAttackHead] 使目标增加2级流血 强度
<TAG> Gain <N> <TAG> next turn	225	[OnSucceedAttack] Gain 3 [Breath] next turn	[OnSucceedAttack] 下回合使自身增加3级呼吸法 强度
Viewed in Battle	182	Viewed in Battle	战斗中选中人格
Extra Conditions Fulfilled	182	Extra Conditions Fulfilled	EX CLEAR战斗胜利
Nagel und Hammer	175	Nagel und Hammer	钉与锤
<TAG> Inflict <N> Rupture	163	[OnSucceedAttack] Inflict 1 Rupture	[OnSucceedAttack] 使目标增加1级破裂 强度
Spend <N> <TAG>	159	Spend 1 [BulletPropellant]	消耗1发[BulletPropellant]
<TAG> Trigger <TAG>; then, reduce target's <TAG> Count by <N>	157	[OnSucceedAttack] Trigger [VibrationExplosion]; then, reduce target's [Vibration] Count by 1	[OnSucceedAttack] 使目标[VibrationExplosion]，并使其[Vibration]层数减少1层
Technology Liberation Alliance	153	Technology Liberation Alliance	技术解放联盟
Grade <N> Fixer	142	Grade 8 Fixer	8阶收尾人
The Thumb Nursefather	137	The Thumb Nursefather	拇指 父辈
<TAG> Deal <N> SP damage	118	[OnSucceedAttack] Deal 5 SP damage	[OnSucceedAttack] 对目标造成5点理智伤害
R Corp. 4th Pack Reindeer	113	R Corp. 4th Pack
Reindeer	R公司
第四集团军
驯鹿队
The Index Nursefather	105	The Index Nursefather	食指 父辈
K Corp. Laboratory	95	K Corp. Laboratory	K公司某处的实验室
<TAG> Inflict <N> Bind next turn	95	[OnSucceedAttack] Inflict 3 Bind next turn	[OnSucceedAttack] 下回合对目标施加3层束缚 
Kurokumo Clan Captain	94	Kurokumo Clan
Captain	黑云会
副会长
W Corp. Cleanup Agent	92	W Corp. Cleanup Agent	W公司 清扫人员
<TAG> Inflict +<N> Bleed Count	91	[OnSucceedAttack] Inflict +3 Bleed Count 	[OnSucceedAttack] 对目标施加3层流血 
LCE Research Team	89	LCE Research Team	LCE研究组
The Middle's Big Brother	88	The Middle's Big Brother	中指 幼兄
<TAG> Inflict <N> Burn	88	[OnSucceedAttack] Inflict 2 Burn	[OnSucceedAttack] 使目标增加2级烧伤 强度
N Corp. New League of Nine Littérateurs	86	N Corp. New League of Nine Littérateurs	N公司 新九人会
League of Nine Littérateurs	84	League of Nine Littérateurs	九人会
LCCB P-Obs. Unit <N>	83	LCCB P-Obs. Unit 3	LCCB 事前观测 3科
Zwei Section <N>	82	Zwei Section 4	Zwei协会 4科
