# kr	cn	count	evidence
단테	但丁	479	零协既有译名
뫼르소	默尔索	315	零协既有译名
뿌이	布伊	300	EN Pwie；S1029B/11 说明：뷔페(Buffet)为其全名，뿌이是幼体只能说出发音首音节时的简称，故取“布”字头
돈키호테	堂吉诃德	130	零协既有译名
이스마엘	以实玛利	122	零协既有译名
오티스	奥提斯	120	零协既有译名
수셰프	副主厨	91	零协既有译名
그레고르	格里高尔	88	零协既有译名
홍루	鸿璐	86	零协标准为鸿璐（术语表★）；P10613 的“红露”为孤例，不采用
로쟈	罗佳	77	零协既有译名
파우스트	浮士德	76	零协既有译名
히스클리프	希斯克利夫	61	零协既有译名
이상	李箱	61	角色李箱，非“或以上”的误配
팔레트	调色板	61	零协既有译名
싱클레어	辛克莱	53	零协既有译名
통제자	监管者	51	EN Overseer；与已确立的管理자=经理区分
도로테아	多萝西娅	46	零协既有译名
료슈	良秀	44	零协既有译名
???	？？？	43	零协既有译名
리나모비블	不可动摇者	43	零协既有译名
르누아르 가방관 디자이너	黑派箱包馆设计师	41	EN Le Noir Handbags Hall Designer；가방관对齐신발관=制鞋馆
구스타프	居斯塔夫	38	零协既有译名
퀼리안	奎利安	38	零协既有译名
등굽은 조명	驼背落地灯	32	零协既有译名
르루주 가방관 디자이너	红派箱包馆设计师	32	EN Le Rouge Handbags Hall Designer；同上
부셰	屠夫	30	零协既有译名
브랜드 디렉터	品牌总监	27	零协既有译名
네이키드	裸体	27	零协既有译名
미모사	含羞草	23	零协既有译名
수선사 아네트	改衣师安妮特	23	零协既有译名
투피스	两件套	21	零协既有译名
포레그	四脚人	21	零协既有译名
테너	鞣皮工	21	EN Tanner；태닝실=Tannery，制革语境
르네	蕾妮	19	EN Renée（女性，EN 一致用 she）；中文用女性化译名「蕾妮」
살갗 소파	人皮沙发	18	零协既有译名
박제된 가죽 커튼	剥制皮窗帘	17	零协既有译名
빨간 방석 스툴	红色软凳	17	零协既有译名
퍼티	油灰	17	零协既有译名
키우는 자	培育者	17	EN Nurturer；-는 자 用“者”，对齐不可动摇者
원레그	单脚人	16	零协既有译名
느긋한 가죽 침대	舒服的皮床	16	零协既有译名
행복한 옷장	快乐衣橱	15	零协既有译名
디자이너의 걸작	设计师的杰作	15	EN The Designer's Chef D'oeuvre
줄 선 바늘이	排队的针族	15	EN Queueing Needlekin；바늘이=针族
뒤부아	杜布瓦	13	零协既有译名
뼛걸이	骨衣架	13	零协既有译名
지하 2층 플로어 매니저	B2F 楼层经理	13	零协既有译名
쌍둥이 램프	双子台灯	12	零协既有译名
펠트	毛毡	11	零协既有译名
낚시꾼	渔夫	11	EN Fisherman
플라넬	法兰绒	9	零协既有译名
목마른 르카키	干渴的褐派	9	零协既有译名
르누아르 브랜드 매니저	黑派品牌经理	9	EN Le Noir's Brand Manager；브랜드 디렉터=品牌总监
르누아르 경비원	黑派警卫	9	EN Le Noir Guard
르누아르 스태프 매니저	黑派员工经理	8	EN Le Noir Staff Manager
3층 플로어 매니저	3F 楼层经理	7	零协既有译名
배고픈 르카키	饥饿的褐派	7	零协既有译名
바느질의 왕	裁缝之王	7	零协既有译名
가죽 장갑	真皮手套	6	零协既有译名
시술 받는 고객	手术中的顾客	5	零协既有译名
죽어가는 르누아르	濒死的黑派	5	零协既有译名
구경 중인 고객	正在浏览商品的顾客	4	零协既有译名
초조한 고객	焦急的顾客	4	零协既有译名
르루주 운반자	红派搬运工	4	零协既有译名
고치	茧	4	零协既有译名
긁어내는 자	刮取者	4	EN Scraper
단호한 고객	坚决的顾客	4	EN Adamant Customer；对齐焦急的顾客/绝望的顾客
궁핍한 고객	贫困的顾客	3	零协既有译名
르누아르 운반자	黑派搬运工	3	零协既有译名
일하는 바늘이	劳作中的针族	3	零协既有译名
크로머	克罗默	2	零协既有译名
절박한 고객	绝望的顾客	2	零协既有译名
뷔페	布斐	2	EN Buffet，此处是角色全名而非“自助餐”；S1029B#10「뷔페로 충분할 거야」
소란스러운 바늘이	吵闹的针族	2	EN Fussy Needlekin
검은 실	黑之丝	1	零协既有译名
바늘이 노동자	针族工人	1	零协既有译名
바늘이 노동자2	针族工人2	1	零协既有译名
쁘…	布……	1	EN Pwuh...；幼体发不出“布伊”的含混音
쁘우이	布呜伊……	1	EN Pwuh-Pwuhie...；同上，幼体逐渐接近“布伊”
르누아르 간부	黑派干部	1	EN Le Noir Officer
시끄러운 바늘이	大嗓门的针族	1	EN Loudmouthed Needlekin
탐욕스런 바늘이	贪婪的针族	1	EN Greedy Needlekin
태닝실	鞣革室	1	EN Tannery
기어다니는 가죽	爬行的皮革	1	EN Crawling Leather
