# en	cn	en_hits	cn_hits	source	id
...	…	0	32117	Passives_Enemy-a1c6p1.json	9011801
3	3	8738	9087	MirrorDungeonUI_5.json	mirrordungeon_egogift_combine_guide_score_tier_1_score
Person	人	337	17415	Enemies_Refraction5.json	863203
Goals	目标	21	15480	MirrorDungeonUI_2.json	mirror_dungeon_3_buffs_title_15
ON	ON	13580	18	MirrorDungeonUI_5_InfinityFloor.json	IsOnInfinityMod
-	-	0	8767	MirrorDungeonUI_4.json	mirror_battle_reward_card_guide_table_1_desc_5_1
10	10	3679	3895	MirrorDungeonUI_5.json	mirrordungeon_egogift_combine_guide_score_tier_3_score
Floor 1	1层	43	6258	MirrorDungeonUI_4.json	mirror_battle_reward_card_guide_table_1_desc_1_0
E.G.O	E.G.O	3414	2856	StoryTheaterDanteNote.json	Ego
6	6	1830	2678	MirrorDungeonUI_5.json	mirrordungeon_egogift_combine_guide_score_tier_2_score
Combat	战斗	781	3608	BattlePass.json	battlepass_mission_tag_battle
Floor 2	2层	4	4153	MirrorDungeonUI_4.json	mirror_battle_reward_card_guide_table_1_desc_2_0
The Heart	心	125	3639	StageNode-a1c8p3.json	10830
Sinners	罪人	1158	2605	MirrorDungeonUI_3.json	mirror_dungeon3_entrance_button_formation
Hands	手	404	3256	Enemies_Refraction3.json	858502
Shin (心)	心	0	3639	StoryTheaterDanteNote_12.json	Shin
Launcher [始]	始	0	3615	BattleKeywords.json	StartXichun
Identities	人格	1055	2509	StoryTheaterDanteNote.json	Personality
Apply	使用	1142	2365	DanteAbilityUIText_a1c9p3.json	danteAbility_Apply
Coin	铜钱	3231	173	EGOgift_a1c8p2.json	2061
???	？？？	0	3157	Enemies-a1c5p3.json	8103
Sinking	沉沦	2451	595	BattleKeywords.json	Sinking
Faust	浮士德	1366	1483	IntroduceCharacter.json	파우스트
Charge	充能	2050	589	BattleKeywords.json	Charge
Nirmāna	变	0	2607	Passives_Abnormality_Refraction.json	852705
End Stage	结束	1	2549	RailwayDungeonUI_2.json	railway_dungeon_2_retry_popup_exit
30	30	1213	1306	MirrorDungeonUI_5.json	mirrordungeon_egogift_combine_guide_score_tier_5_score
Floor 3	3层	8	2406	MirrorDungeonUI_4.json	mirror_battle_reward_card_guide_table_1_desc_3_0
15	15	1230	1122	MirrorDungeonUI_5.json	mirrordungeon_egogift_combine_guide_score_tier_4_score
Bleed	流血	1228	1081	BattleKeywords.json	Bleeding
Heathcliff	希斯克利夫	1055	1210	IntroduceCharacter.json	히스클리프
Tier 1	1级	70	2102	MirrorDungeonUI_4.json	new_ego_gift_combine_guide_tier_1
Class 1	1级	28	2102	StageNode1-4.json	10441
Don Quixote	堂吉诃德	956	1105	Enemies-a1c7p3.json	8410
Tier 2	2级	75	1981	MirrorDungeonUI_4.json	new_ego_gift_combine_guide_tier_2
K Corp.	K公司	956	1040	StoryTheaterDanteNote.json	NestK
{0}	{0}	0	1986	RailwayDungeonUI.json	railway_dungeon_current_station
The Present	现在	61	1910	RailwayDungeonUI_6.json	railway_6_present
Fixer	收尾人	842	1109	UnitKeyword.json	UnitKeyword_FIXER
Tier 3	3级	273	1670	MirrorDungeonUI_4.json	new_ego_gift_combine_guide_tier_3
Present [現在]	现在	0	1910	Passives_Abnormality_Refraction6.json	9567020
Team	编队	1535	362	MirrorDungeonUI_2.json	dungeon_shop_change_formation
Children	孩子	91	1735	StageNode-a1c9p2.json	10919
Ishmael	以实玛利	850	904	IntroduceCharacter.json	이스마엘
Family	家人	1447	261	StageNode-a1c9p3.json	10944
Sinclair	辛克莱	812	846	Enemies-cultivation.json	1287
T Corp.	T公司	769	800	StoryTheaterDanteNote_5.json	NestT
Hong Lu	鸿璐	737	819	IntroduceCharacter.json	홍루
Meursault	默尔索	946	592	IntroduceCharacter.json	뫼르소
Select	选择	456	1079	MirrorDungeonUI_6.json	mirror_observation_ego_gift_confirm
Mang (望)	望	0	1527	Passives.json	999907
Tremor	震颤	727	798	BattleKeywords.json	Vibration
The Middle	中指	692	806	StageNode-a1c9p3.json	10938
Outis	奥提斯	776	697	IntroduceCharacter.json	오티스
Rupture	破裂	725	746	BattleKeywords.json	Burst
Default	基础	15	1447	MirrorDungeonUI_6.json	mirror_finished_panel_mirror_pass_detail_default
Fixers	收尾人	316	1109	StoryTheaterDanteNote.json	Fixer
Core	本体	717	687	Enemies-hidden.json	124301
La Manchaland	拉·曼却领	688	715	UnitKeyword.json	UnitKeyword_LA_MANCHA_LAND
Yi Sang	李箱	626	763	IntroduceCharacter.json	이상
The Associations	协会	10	1371	StoryTheaterDanteNote_2.json	Association
Brain	脑	81	1294	Enemies-tkt.json	827801
Gregor	格里高尔	666	687	IntroduceCharacter.json	그레고르
Body	躯干	949	364	Enemies-a1c5p1.json	874101
The Letter	信	6	1277	StageNode-a1c6p1.json	10604
Burn	烧伤	694	558	BattleKeywords.json	Burn
Nothing	没什么	899	331	StageNode1-4.json	10449
Rodion	罗佳	511	683	IntroduceCharacter.json	로쟈
Tier 5	5级	2	1180	MirrorDungeonUI_5.json	mirrordungeon_egogift_combine_guide_score_tier_5
Leave	离开	605	575	MirrorDungeonUI_2.json	dungeon_shop_out
Enter	完成	378	789	MirrorDungeonUI_5.json	mirror_start_buff_purchase_button
N Corp.	N公司	600	553	StageNode-a1c8p1.json	10811
OFF	OFF	1137	5	MirrorDungeonUI_5_InfinityFloor.json	IsOFFInfinityMod
Heishou Pack	黑兽	462	675	UnitKeyword.json	UnitKeyword_BLACK_BEAST
Family Hierarch	家主	228	896	UnitKeyword.json	UnitKeyword_FAMILY_GA_HIERARCH
Ryōshū	良秀	0	1116	Enemies-a1c9p3.json	1343
E.G.O Gifts	E.G.O饰品	258	845	MirrorDungeonUI_7.json	ego_gift_list_default
Abnormalities	异想体	300	782	StoryTheaterDanteNote_2.json	Abnormality
Identities	参战人格	1055	8	MirrorDungeonUI.json	participated_personality
Bloodfiend	血魔	415	641	UnitKeyword-a1c7p1.json	UnitKeyword_BLOODFIEND
Head	头部	925	128	Enemies-a1c5p1.json	874202
Poise	呼吸法	517	487	BattleKeywords.json	Breath
The Ring	环指	450	533	StageNode-a1c9p3.json	10937
Activate	激活	728	233	MirrorDungeonUI_3.json	mirror_dungeon_atart_buff_activation
Tier 4	4级	42	915	MirrorDungeonUI_4.json	new_ego_gift_combine_guide_tier_4
Nursefathers	父辈	57	891	StageNode-a1c9p1.json	10917
Flower	花	99	843	Enemies_Refraction2.json	856401
Gift	礼物	753	178	EGOgift_MirrorDungeon-EventTheme_2.json	9764
Ready [待]	待	0	924	BattleKeywords.json	WaitingXichun
Reward	奖励	295	612	MirrorDungeonUI_6.json	mirror_starlight_result_reward_point
Rewards	奖励	295	612	RailwayDungeonUI_1002.json	railway_clear_reward_popup_item_column_desc
Fragile	易损	375	523	BattleKeywords.json	Vulnerable
LCE	LCE	440	452	UnitKeyword.json	UnitKeyword_LIMBUS_COMPANY_LCE
Enhance	强化	69	821	MirrorDungeonUI_6.json	mirror_dungeon_start_buff_card_enhancement
Power Up	威力提升	636	248	BattleKeywords.json	ResultEnhancement
